# GENERATION MIN MAX AVG

254 853.048599 12490.116792 6805.915373
255 853.048599 12490.116792 8124.636332
256 853.048599 13177.668473 6286.709971
257 853.048599 13177.668473 6678.611897
258 319.173856 13620.900088 6889.048742
259 567.897673 13962.366682 8302.104332
260 853.048599 14576.890361 7644.028145
261 452.720853 15165.322798 6870.646385
262 604.542475 15165.322798 8417.600853
263 452.720853 15165.322798 10108.510802
264 452.720853 15561.554660 8992.077435
265 452.720853 15561.554660 9056.953882
265 452.720853 15561.554660 9056.953882
266 292.446856 16433.864393 10567.819183
267 292.446856 16182.574521 9411.135101
268 292.446856 15568.511147 7296.386888
269 292.446856 15558.054020 9954.012311
270 876.181310 15560.881242 8553.447469
271 2155.529750 15560.881242 8860.046813
272 292.446856 15560.881242 9242.974573
273 292.446856 15560.881242 9002.036101
274 346.468573 15823.268048 7892.512265
275 559.309761 15823.268048 8738.563802
276 559.309761 14937.077542 8349.673007
277 277.308915 14937.077542 8459.978283
278 2126.886757 15913.313857 10497.904343
279 276.739305 15441.692375 9398.788430
280 289.808375 17000.803371 9019.021285
281 2478.036432 16527.267286 10832.179394
282 1222.384753 17325.258305 8974.479468
283 292.446856 17381.124780 7105.103999
284 2178.712509 17360.558078 8832.538980
285 278.212714 17360.558078 7835.584029
